"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","FDIFLOW","INWARD","MLN_USD","A","2012",4002.5706940874,
"AUT","FDIFLOW","INWARD","MLN_USD","A","2013",5813.0890747378,
"AUT","FDIFLOW","INWARD","MLN_USD","A","2014",4800.3184290832,
"AUT","FDIFLOW","INWARD","MLN_USD","A","2015",1294.5091514143,
"AUT","FDIFLOW","INWARD","MLN_USD","A","2016",-8400.9731283866,
"AUT","FDIFLOW","INWARD","MLN_USD","A","2017",14926.163904859,
"AUT","FDIFLOW","INWARD","MLN_USD","A","2018",5511.6251622802,
"AUT","FDIFLOW","INWARD","MLN_USD","A","2019",4783.3874398298,
"AUT","FDIFLOW","INWARD","MLN_USD","A","2020",-9950.9971509972,
"AUT","FDIFLOW","INWARD","MLN_USD","A","2021",17110.927152318,
"AUT","FDIFLOW","INWARD","MLN_USD","A","2022",9357.4508360501,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2005",11138.548804375,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2006",12317.057863688,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2007",36076.65982204,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2008",28850.877192982,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2009",11037.788274521,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2010",9548.3443708609,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2011",22003.617642966,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2012",13060.411311054,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2013",15598.035311297,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2014",-664.72071115829,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2015",6915.1414309484,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2016",-1322.5699436028,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2017",10678.615714125,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2018",5678.0361147173,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2019",12632.934064704,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2020",7517.9487179487,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2021",25432.828760643,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2022",7722.157955621,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2005",3.4097239869177,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2006",1.4534495511679,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2007",6.5501212478023,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2008",1.6790542906795,
